# values taken from L1-L2 optical alignment report, p.16 (couldn't locate raw data or spreadsheet containing these numbers, so reading off of pptx image)
# L1 SMRs
# LABEL X Y Z
SPHERE_9_L2_Cell_SMR9_OASM3 -633.972 -169.392    1.865
SPHERE_10_L2_Cell_SMR10_OASM3 -634.133  169.811    1.630
SPHERE_11_L2_Cell_SMR11_OASM3 -464.231  463.728    1.390
SPHERE_12_L2_Cell_SMR12_OASM3 -169.520  633.486    1.080
SPHERE_1_L2_SMR1_OASM3          568.102    0.073  86.832
SPHERE_2_L2_SMR2_OASM3          364.914  435.238  86.875
SPHERE_3_L2_SMR3_OASM3           -0.459  568.074  86.826
SPHERE_4_L2_SMR4_OASM3         -465.567  325.506  86.870
SPHERE_5_L2_SMR5_OASM3         -514.715 -240.631  86.932
SPHERE_6_L2_SMR6_OASM3            0.231 -568.474  86.852
SPHERE_7_L2_SMR7_OASM3          284.236 -492.217  86.766
#
# values taken from L1-L2 Optical Assembly Spatial Metrology Survey (2565590_Rev_B p.21 [in CCS])
# L1 SMRs
# LABEL X Y Z
SPHERE_1_L1_Cell_SMR1_OASMCCS  193.430  720.318  -560.295
SPHERE_2_L1_Cell_SMR2_OASMCCS  527.682  526.991  -560.213
SPHERE_3_L1_Cell_SMR3_OASMCCS  720.655  192.468  -560.264
SPHERE_4_L1_Cell_SMR4_OASMCCS  720.414 -193.683  -560.335
SPHERE_5_L1_Cell_SMR5_OASMCCS  527.234 -527.986  -560.240
SPHERE_6_L1_Cell_SMR6_OASMCCS  192.877 -720.912  -560.361
SPHERE_7_L1_Cell_SMR7_OASMCCS -193.335 -720.234  -560.332
SPHERE_8_L1_Cell_SMR8_OASMCCS -527.774 -527.545  -560.711
SPHERE_9_L1_Cell_SMR9_OASMCCS   -720.344 -192.862  -560.462
SPHERE_10_L1_Cell_SMR10_OASMCCS -720.573  193.212  -560.280
SPHERE_11_L1_Cell_SMR11_OASMCCS -527.355  527.707  -560.464
SPHERE_12_L1_Cell_SMR12_OASMCCS -192.801  720.493  -560.404
# L2 SMRs
SPHERE_1_L2_Cell_SMR1_OASMCCS  169.679  633.224 -462.722
SPHERE_2_L2_Cell_SMR2_OASMCCS  464.269  463.169 -462.019
